"n-1" "n" "frequency"
"something" "that" 523
"sounds" "like" 522
"is" "like" 522
"coming" "to" 521
"more" "of" 521
"and" "even" 521
"next" "to" 521
"me" "on" 521
"see" "it" 520
"so" "it" 520
"get" "out" 520
"he" "would" 520
"a" "better" 518
"to" "bring" 518
"him" "and" 518
"to" "an" 517
"where" "you" 516
"has" "the" 516
"i" "dont" 515
"is" "your" 515
"is" "there" 514
"what" "to" 514
"watching" "the" 514
"order" "to" 514
"with" "us" 513
"of" "its" 513
"she" "had" 513
"and" "as" 513
"was" "an" 513
"the" "week" 511
"think" "it" 511
"the" "entire" 511
"it" "can" 511
"i" "started" 510
"just" "to" 509
"see" "a" 509
"the" "movie" 509
"looking" "at" 509
"though" "i" 507
"do" "a" 507
"hope" "to" 507
"how" "the" 507
"to" "let" 507
"every" "time" 506
"to" "and" 505
"that's" "a" 505
"and" "just" 505
"nice" "to" 505
"the" "worst" 505
"i" "might" 504
"that" "i'm" 504
"do" "this" 503
"up" "i" 503
"have" "some" 502
"is" "all" 502
"you" "got" 501
"it" "as" 501
"your" "life" 500
"now" "and" 497
"to" "leave" 497
"so" "the" 497
"out" "a" 497
"we" "should" 496
"find" "out" 495
"the" "things" 495
"what" "he" 495
"was" "to" 494
"the" "truth" 494
"the" "real" 494
"to" "them" 494
"a" "book" 494
"social" "media" 493
"love" "that" 493
"of" "being" 493
"i" "felt" 492
"continue" "to" 491
"will" "never" 491
"it" "wasn't" 491
"of" "life" 490
"at" "me" 490
"back" "on" 489
"that's" "what" 489
"why" "do" 489
"it's" "just" 488
"i" "took" 488
"great" "day" 487
"comes" "to" 487
"is" "very" 487
"up" "at" 486
"the" "moment" 486
"the" "case" 485
"life" "and" 485
"work" "and" 484
"to" "move" 483
"you" "go" 483
"much" "for" 483
"sense" "of" 483
"lack" "of" 483
"it" "so" 483
"we" "got" 483
"to" "check" 482
"love" "and" 482
"me" "for" 481
"the" "man" 481
"i'm" "just" 481
"for" "years" 481
"we" "get" 480
"a" "different" 480
"the" "very" 479
"on" "her" 479
"just" "the" 478
"be" "an" 478
"go" "on" 478
"people" "to" 477
"here" "and" 477
"you" "on" 477
"the" "point" 477
"said" "it" 475
"the" "name" 475
"the" "lord" 474
"think" "the" 474
"but" "a" 473
"so" "good" 473
"me" "up" 473
"and" "make" 473
"here" "i" 472
"they" "do" 471
"is" "about" 471
"way" "of" 471
"what" "was" 470
"and" "has" 470
"is" "more" 470
"after" "all" 470
"an" "hour" 470
"but" "this" 470
"see" "how" 470
"my" "way" 469
"but" "in" 469
"come" "on" 469
"a" "beautiful" 469
"for" "him" 469
"not" "going" 469
"know" "it" 468
"in" "new" 468
"piece" "of" 468
"use" "the" 467
"the" "final" 467
"and" "one" 467
"and" "see" 467
"have" "had" 466
"is" "good" 466
"i" "decided" 466
"while" "the" 465
"some" "people" 465
"have" "any" 465
"get" "my" 465
"his" "own" 465
"i'm" "in" 464
"a" "large" 464
"to" "ask" 464
"the" "team" 463
"we" "love" 463
"something" "to" 463
"little" "bit" 462
"about" "that" 462
"it" "comes" 462
"came" "to" 461
"to" "run" 461
"let" "us" 459
"and" "on" 459
"be" "at" 459
"welcome" "to" 459
"which" "was" 459
"know" "you" 458
"out" "i" 457
"i" "wonder" 457
"to" "bed" 457
"in" "some" 456
"many" "people" 456
"needed" "to" 455
"easy" "to" 454
"my" "phone" 454
"he" "will" 454
"come" "back" 453
"thing" "i" 453
"to" "us" 452
"these" "are" 452
"not" "even" 451
"we" "could" 451
"along" "the" 451
"i" "wasn't" 451
"and" "of" 450
"a" "woman" 449
"was" "that" 449
"follow" "back" 449
"the" "united" 449
"i" "may" 449
"proud" "of" 448
"come" "out" 448
"don't" "get" 448
"you" "had" 448
"the" "door" 448
"work" "on" 448
"one" "that" 447
"how" "are" 447
"i" "remember" 446
"long" "as" 446
"give" "me" 445
"with" "them" 445
"shout" "out" 444
"you" "might" 444
"but" "then" 444
"the" "car" 443
"yeah" "i" 443
"about" "my" 443
"the" "family" 442
"may" "not" 441
"about" "you" 441
"these" "days" 441
"to" "call" 441
"and" "no" 440
